链接,地址,户型,面积,价格
https://cd.lianjia.com/chengjiao/106106857216.html,万科海悦汇城东区,2室1厅,60.53平米,143万
https://cd.lianjia.com/chengjiao/106106258497.html,牧电后街6号,2室1厅,75.87平米,94万
https://cd.lianjia.com/chengjiao/106103345721.html,水木华夏,3室2厅,133.1平米,103万
https://cd.lianjia.com/chengjiao/106106885225.html,巴黎都市,3室2厅,82.12平米,125万
https://cd.lianjia.com/chengjiao/106106638699.html,瑞升城北橡树林,1室1厅,37.54平米,51万
https://cd.lianjia.com/chengjiao/106106739926.html,锦江城市花园三期,2室1厅,55平米,96万
https://cd.lianjia.com/chengjiao/106105450907.html,锦江城市花园二期,3室1厅,69.37平米,122万
https://cd.lianjia.com/chengjiao/106106872447.html,锦江城市花园二期,2室1厅,47.26平米,84万
https://cd.lianjia.com/chengjiao/106106861095.html,长顺上街251号,2室1厅,76.01平米,154万
https://cd.lianjia.com/chengjiao/106106742211.html,城投东庐,3室2厅,88.98平米,142万
https://cd.lianjia.com/chengjiao/106103752038.html,太平南新街68号,3室1厅,78.12平米,68万
https://cd.lianjia.com/chengjiao/106104373374.html,万景峰一期,3室2厅,78.54平米,116万
https://cd.lianjia.com/chengjiao/106104529602.html,浅水半岛三期,2室1厅,89.62平米,169万
https://cd.lianjia.com/chengjiao/106106908773.html,水韵华府,5室1厅,154.95平米,191万
https://cd.lianjia.com/chengjiao/106106035550.html,蓝光凯丽香江,2室1厅,75.7平米,134万
https://cd.lianjia.com/chengjiao/106105240203.html,浅水半岛二期,2室1厅,89.49平米,152万
https://cd.lianjia.com/chengjiao/106104008871.html,保利国宾首府,3室1厅,85.56平米,108万
https://cd.lianjia.com/chengjiao/106106695422.html,壹号公馆,1室1厅,44.13平米,54万
https://cd.lianjia.com/chengjiao/106106155557.html,保利公园198丁香郡,3室2厅,111.82平米,133万
https://cd.lianjia.com/chengjiao/106106764535.html,锦江城市花园二期,2室1厅,51.14平米,87万
https://cd.lianjia.com/chengjiao/106106358005.html,恒大翡翠华庭,车位,29.36平米,14万
https://cd.lianjia.com/chengjiao/106105801141.html,清溪雅筑,2室1厅,72.72平米,118万
https://cd.lianjia.com/chengjiao/106106505828.html,景茂名都,3室1厅,97.96平米,169万
https://cd.lianjia.com/chengjiao/106105939729.html,澳林春天,2室1厅,72平米,96万
https://cd.lianjia.com/chengjiao/106106689254.html,枫桥晓月,1室0厅,36.6平米,51万
https://cd.lianjia.com/chengjiao/106103206430.html,银河花园,5室2厅,161.71平米,160万
https://cd.lianjia.com/chengjiao/106105710477.html,三河东街243号,2室1厅,65.85平米,38万
https://cd.lianjia.com/chengjiao/106103418453.html,芳馨苑,3室2厅,113.23平米,96万
https://cd.lianjia.com/chengjiao/106105456038.html,花样年别样城,4室2厅,145.46平米,132万
https://cd.lianjia.com/chengjiao/106105285582.html,双玺,2室1厅,47.89平米,106万
https://cd.lianjia.com/chengjiao/106106872103.html,空港上辰,2室1厅,76.31平米,120万
https://cd.lianjia.com/chengjiao/106104863664.html,金地天府城,1室1厅,68.08平米,110万
https://cd.lianjia.com/chengjiao/106106643437.html,格林城,2室1厅,70.64平米,135万
https://cd.lianjia.com/chengjiao/106106913671.html,西岸蒂景,1室0厅,35.05平米,92万
https://cd.lianjia.com/chengjiao/106106331556.html,枫渡莱茵,2室1厅,88.59平米,137万
https://cd.lianjia.com/chengjiao/106106891406.html,西班牙森林二期,3室2厅,89.98平米,129万
https://cd.lianjia.com/chengjiao/106106356570.html,汇融悉尼湾达令港,3室1厅,88.66平米,118万
https://cd.lianjia.com/chengjiao/106106590003.html,傲城,3室2厅,87.2平米,140万
https://cd.lianjia.com/chengjiao/106106309983.html,佳兆业8号,3室2厅,118.31平米,190万
https://cd.lianjia.com/chengjiao/106106908619.html,天府长城图南多,1室1厅,49.08平米,156万
https://cd.lianjia.com/chengjiao/106106102586.html,南湖逸家二期,3室2厅,66.12平米,147万
https://cd.lianjia.com/chengjiao/106106512119.html,天鹅湖北苑,1室1厅,54.71平米,77万
https://cd.lianjia.com/chengjiao/106106537438.html,莲花新二区,3室1厅,78.21平米,112万
https://cd.lianjia.com/chengjiao/106106733685.html,双楠回归线,2室2厅,74.7平米,106万
https://cd.lianjia.com/chengjiao/106106391240.html,怡泰花园,1室1厅,46.39平米,59万
https://cd.lianjia.com/chengjiao/106106707447.html,人居锦尚春天A区,2室2厅,75.12平米,120万
https://cd.lianjia.com/chengjiao/106106710034.html,百家苑(青羊),1室1厅,59.19平米,104万
https://cd.lianjia.com/chengjiao/106106282768.html,金泉阳光雅新苑,1室1厅,44.64平米,40万
https://cd.lianjia.com/chengjiao/106106077927.html,鹭岛国际四期,1室1厅,51.57平米,84万
https://cd.lianjia.com/chengjiao/106105517681.html,青龙巷7号,3室0厅,59.5平米,116万
https://cd.lianjia.com/chengjiao/106105551836.html,天鹅湖北苑,3室1厅,100.95平米,160万
https://cd.lianjia.com/chengjiao/106106886010.html,书香府邸二期英伦,2室1厅,86.98平米,115万
https://cd.lianjia.com/chengjiao/106106750554.html,和贵久居福,2室1厅,51.54平米,73万
https://cd.lianjia.com/chengjiao/106102184252.html,九龙仓时代上城,4室2厅,122平米,200万
https://cd.lianjia.com/chengjiao/106106620083.html,花样年别样城,2室1厅,83.79平米,78万
https://cd.lianjia.com/chengjiao/106106838752.html,西岸观邸,3室1厅,92.78平米,162万
https://cd.lianjia.com/chengjiao/106105029405.html,蓝谷地天域,4室2厅,137.92平米,253万
https://cd.lianjia.com/chengjiao/106102286595.html,保利梧桐语,车位,32.22平米,9万
https://cd.lianjia.com/chengjiao/106106610850.html,佳兆业8号,1室1厅,55.1平米,88万
https://cd.lianjia.com/chengjiao/106106686356.html,富丽东方,2室1厅,78.94平米,128万
https://cd.lianjia.com/chengjiao/106106300243.html,闲山悦二区,2室2厅,68.2平米,54万
https://cd.lianjia.com/chengjiao/106106642340.html,红湖公园城,2室1厅,72.79平米,75万
https://cd.lianjia.com/chengjiao/106106086910.html,双楠谊苑一期,3室2厅,100.21平米,133万
https://cd.lianjia.com/chengjiao/106105108470.html,海亮樾金沙,3室1厅,88.56平米,218万
https://cd.lianjia.com/chengjiao/106106913663.html,海亮樾金沙,车位,29.01平米,6万
https://cd.lianjia.com/chengjiao/106106484727.html,沙河丽景,2室2厅,94.26平米,142万
https://cd.lianjia.com/chengjiao/106105673642.html,华银美景,2室1厅,83.42平米,123万
https://cd.lianjia.com/chengjiao/106104246391.html,帕丽湾,2室2厅,96.19平米,162万
https://cd.lianjia.com/chengjiao/106106450104.html,浅水半岛三期,1室1厅,42.96平米,83万
https://cd.lianjia.com/chengjiao/106106309883.html,沙河丽景,2室1厅,75平米,112万
https://cd.lianjia.com/chengjiao/106106624477.html,合能珍宝琥珀,2室1厅,67.69平米,91万
https://cd.lianjia.com/chengjiao/106106753813.html,恒大新城二期,2室2厅,82.9平米,109万
https://cd.lianjia.com/chengjiao/106106678651.html,光华国际,2室1厅,96.91平米,108万
https://cd.lianjia.com/chengjiao/106106551979.html,双水康城A区,1室1厅,44.27平米,42万
https://cd.lianjia.com/chengjiao/106103985478.html,华润国际社区,3室2厅,70.36平米,123万
https://cd.lianjia.com/chengjiao/106105563638.html,玉双路3号,4室2厅,148.03平米,154万
https://cd.lianjia.com/chengjiao/106106812380.html,置信逸都花园天乐苑,5室2厅,233.69平米,400万
https://cd.lianjia.com/chengjiao/106106569979.html,蓝光花满庭三期北区,3室1厅,94.71平米,126万
https://cd.lianjia.com/chengjiao/106104511386.html,佳兆业君汇上品,3室2厅,128.51平米,235万
https://cd.lianjia.com/chengjiao/106106505618.html,乐天圣苑,3室1厅,87.24平米,297万
https://cd.lianjia.com/chengjiao/106106373633.html,西蜀尚都,4室2厅,126.39平米,118万
https://cd.lianjia.com/chengjiao/106104993348.html,麓湖生态城琉璃溪岸,2室2厅,69.92平米,192万
https://cd.lianjia.com/chengjiao/106106906613.html,黄金时代(中和街道办吉龙二街),3室2厅,98.12平米,156万
https://cd.lianjia.com/chengjiao/106106812455.html,清江美庐,2室1厅,59.68平米,95万
https://cd.lianjia.com/chengjiao/106100925880.html,南湖国际社区,3室2厅,152.87平米,288万
https://cd.lianjia.com/chengjiao/106105894211.html,安顺小区,2室2厅,70.92平米,39万
https://cd.lianjia.com/chengjiao/106106351567.html,恒创蜀都公馆,2室2厅,85.14平米,86万
https://cd.lianjia.com/chengjiao/106106432936.html,科泰公寓,3室1厅,116.2平米,95万
https://cd.lianjia.com/chengjiao/106106889233.html,华宇阳光四季,3室1厅,87.95平米,150万
https://cd.lianjia.com/chengjiao/106106477791.html,天合凯旋城,3室2厅,122.9平米,322万
https://cd.lianjia.com/chengjiao/106103915285.html,蓉铁花园,3室2厅,98.71平米,127万
https://cd.lianjia.com/chengjiao/106103848643.html,东珠市街65号,3室1厅,65.63平米,59万
https://cd.lianjia.com/chengjiao/106106212931.html,华气苑,3室2厅,121.92平米,129万
https://cd.lianjia.com/chengjiao/106106261558.html,沙河北岸,2室2厅,84.71平米,83万
https://cd.lianjia.com/chengjiao/106106618480.html,棕港公寓,3室1厅,145.41平米,154万
https://cd.lianjia.com/chengjiao/106102298480.html,碧桂园海昌天澜,4室2厅,247平米,374万
https://cd.lianjia.com/chengjiao/106106663444.html,中铁瑞景茗城二期,3室2厅,96.37平米,109万
https://cd.lianjia.com/chengjiao/106106912328.html,黄金时代(中和街道办吉龙二街),3室2厅,98.09平米,150万
https://cd.lianjia.com/chengjiao/106106658069.html,梨花街1号,2室1厅,63.9平米,190万
https://cd.lianjia.com/chengjiao/106106550474.html,润禾花园,2室2厅,75.82平米,94万
https://cd.lianjia.com/chengjiao/106105789951.html,泰康东路30号,3室1厅,94.54平米,50万
https://cd.lianjia.com/chengjiao/106106910619.html,信息产业电子第十一设计研究院宿舍,3室2厅,70.33平米,112万
https://cd.lianjia.com/chengjiao/106105974124.html,金沙西园一期,3室2厅,103.38平米,245万
https://cd.lianjia.com/chengjiao/106105938191.html,金河路63号,3室1厅,63.77平米,183万
https://cd.lianjia.com/chengjiao/106106749456.html,西财学府阳光,2室1厅,79.84平米,83万
https://cd.lianjia.com/chengjiao/106106590367.html,海棠公馆一期,2室1厅,76.92平米,104万
https://cd.lianjia.com/chengjiao/106106161926.html,瑞升橡树林华府,2室1厅,79.05平米,147万
https://cd.lianjia.com/chengjiao/106106911207.html,蓝光圣菲town城,2室1厅,77.85平米,118万
https://cd.lianjia.com/chengjiao/106103065611.html,万家和花园,3室2厅,106.35平米,92万
https://cd.lianjia.com/chengjiao/106105626843.html,麓山国际云曦台,3室2厅,105.84平米,230万
https://cd.lianjia.com/chengjiao/106105170355.html,瑞升花园,2室2厅,82.03平米,124万
https://cd.lianjia.com/chengjiao/106106764681.html,格凌兰,3室2厅,82.18平米,133万
https://cd.lianjia.com/chengjiao/106103224079.html,贵通御苑映月湾,3室2厅,126平米,195万
https://cd.lianjia.com/chengjiao/106106535308.html,新港国际花园,3室1厅,87.84平米,163万
https://cd.lianjia.com/chengjiao/106102068692.html,碧林,车位,24.82平米,13万
https://cd.lianjia.com/chengjiao/106106475697.html,金玉满堂二期,2室2厅,77.98平米,105万
https://cd.lianjia.com/chengjiao/106106799303.html,洲际春天广场,3室1厅,69.7平米,88万
https://cd.lianjia.com/chengjiao/106102547860.html,花样年别样城,4室2厅,164平米,125万
https://cd.lianjia.com/chengjiao/106106483074.html,恋日家园G区,4室2厅,130平米,143万
https://cd.lianjia.com/chengjiao/106106475019.html,新鸿一区,3室1厅,71.86平米,91万
https://cd.lianjia.com/chengjiao/106106691953.html,东立国际广场,3室1厅,89.91平米,117万
https://cd.lianjia.com/chengjiao/106106582872.html,锦城华府,1室1厅,56.51平米,140万
https://cd.lianjia.com/chengjiao/106106654832.html,布鲁汀,3室2厅,142.05平米,191万
https://cd.lianjia.com/chengjiao/106104748130.html,滨江和城,3室2厅,93.3平米,184万
https://cd.lianjia.com/chengjiao/106106803792.html,清溪雅筑,2室1厅,74.91平米,119万
https://cd.lianjia.com/chengjiao/106106015209.html,望江橡树林一期,1室1厅,53.72平米,110万
https://cd.lianjia.com/chengjiao/106106694949.html,和信孔雀天成,1室1厅,51.09平米,69万
https://cd.lianjia.com/chengjiao/106106173226.html,万科金域缇香一期,3室2厅,78.88平米,114万
https://cd.lianjia.com/chengjiao/106106611089.html,中海兰庭,4室1厅,88.42平米,365万
https://cd.lianjia.com/chengjiao/106106755741.html,和信孔雀天成,2室2厅,81.16平米,105万
https://cd.lianjia.com/chengjiao/106106765886.html,北星城,4室2厅,106.69平米,156万
https://cd.lianjia.com/chengjiao/106105509548.html,锦绣森邻,3室2厅,131.41平米,173万
https://cd.lianjia.com/chengjiao/106106696266.html,伊甸阳光,3室2厅,120.37平米,225万
https://cd.lianjia.com/chengjiao/106105862421.html,汇景樱桃季,2室1厅,83.11平米,105万
https://cd.lianjia.com/chengjiao/106106646637.html,青房云上二期,2室1厅,88.29平米,196万
https://cd.lianjia.com/chengjiao/106105927893.html,南城都汇汇雅园二期,2室2厅,85.28平米,222万
https://cd.lianjia.com/chengjiao/106106022357.html,学府嘉苑,2室2厅,80.91平米,90万
https://cd.lianjia.com/chengjiao/106105267185.html,麓山印象,3室1厅,118平米,200万
https://cd.lianjia.com/chengjiao/106101540389.html,西财学府阳光,2室2厅,70.37平米,77万
https://cd.lianjia.com/chengjiao/106106338389.html,南湖国际社区,2室1厅,84平米,153万
https://cd.lianjia.com/chengjiao/106105954277.html,天际首府,2室1厅,92.19平米,144万
https://cd.lianjia.com/chengjiao/106106698440.html,华润二十四城四期,3室1厅,88.43平米,251万
https://cd.lianjia.com/chengjiao/106106649700.html,通瑞月光湖,2室1厅,79.72平米,110万
https://cd.lianjia.com/chengjiao/106106823553.html,东门街95号,3室1厅,82.12平米,155万
https://cd.lianjia.com/chengjiao/106106874060.html,沙河上二期,3室1厅,90平米,170万
https://cd.lianjia.com/chengjiao/106106664788.html,中铁骑士府邸,4室1厅,94.8平米,173万
https://cd.lianjia.com/chengjiao/106104915449.html,金地金沙府邸,3室2厅,124.51平米,294万
https://cd.lianjia.com/chengjiao/106106835045.html,果壳里的城,3室1厅,87.92平米,142万
https://cd.lianjia.com/chengjiao/106105889650.html,锦西国际,2室1厅,37.15平米,68万
https://cd.lianjia.com/chengjiao/106105835958.html,水务局小区,2室2厅,83.96平米,57万
https://cd.lianjia.com/chengjiao/106106452186.html,文星花园,3室2厅,100.64平米,125万
https://cd.lianjia.com/chengjiao/106102577025.html,流星花园,2室1厅,78.68平米,167万
https://cd.lianjia.com/chengjiao/106106753667.html,银诚东方国际三期,2室2厅,72.89平米,85万
https://cd.lianjia.com/chengjiao/106106797308.html,锦江城市花园二期,2室1厅,51.38平米,90万
https://cd.lianjia.com/chengjiao/106103465106.html,麓山国际塞尔维蒙,3室2厅,149.55平米,301万
https://cd.lianjia.com/chengjiao/106106836366.html,首创东公元,3室1厅,83.02平米,151万
https://cd.lianjia.com/chengjiao/106106847753.html,依山居,4室2厅,94.29平米,104万
https://cd.lianjia.com/chengjiao/106106842610.html,御廷上郡,2室2厅,70.8平米,117万
https://cd.lianjia.com/chengjiao/106106840462.html,金茂礼都,1室1厅,48.66平米,68万
https://cd.lianjia.com/chengjiao/106105787542.html,簇桥中街171号,3室2厅,107.95平米,105万
https://cd.lianjia.com/chengjiao/106105316063.html,盘谷花园,3室2厅,174.25平米,282万
https://cd.lianjia.com/chengjiao/106106812217.html,紫御熙庭,2室2厅,70.71平米,172万
https://cd.lianjia.com/chengjiao/106106520505.html,河畔华苑一期,2室2厅,67.76平米,142万
https://cd.lianjia.com/chengjiao/106101968699.html,中铁丽景书香,4室2厅,140.17平米,168万
https://cd.lianjia.com/chengjiao/106105451040.html,中大君悦金沙六期,2室2厅,83平米,208万
https://cd.lianjia.com/chengjiao/106101610876.html,合能耀之城,3室1厅,61平米,112万
https://cd.lianjia.com/chengjiao/106106639225.html,中铁西郡英华二期,2室1厅,72.09平米,76万
https://cd.lianjia.com/chengjiao/106104472518.html,水武街77号,2室1厅,79.16平米,65万
https://cd.lianjia.com/chengjiao/106106888219.html,天府长城柏南郡,3室1厅,124.05平米,340万
https://cd.lianjia.com/chengjiao/106106857069.html,红树湾,3室2厅,84.72平米,168万
https://cd.lianjia.com/chengjiao/106106860021.html,朗基龙堂,1室1厅,50.94平米,130万
https://cd.lianjia.com/chengjiao/106105729926.html,清凤时代城,2室1厅,75.07平米,167万
https://cd.lianjia.com/chengjiao/106106202065.html,丹桂苑(高新区),3室2厅,127.75平米,186万
https://cd.lianjia.com/chengjiao/106106326532.html,浅水半岛二期,2室1厅,89.78平米,160万
https://cd.lianjia.com/chengjiao/106106911470.html,国嘉美领居,车位,19.88平米,7万
https://cd.lianjia.com/chengjiao/106106872433.html,新城市广场,1室1厅,48.84平米,110万
https://cd.lianjia.com/chengjiao/106105964239.html,中海右岸一期,3室1厅,104.36平米,181万
https://cd.lianjia.com/chengjiao/106106724297.html,蓝光花满庭一期,2室1厅,77.8平米,114万
https://cd.lianjia.com/chengjiao/106106770707.html,城南晶座,3室1厅,90.8平米,171万
https://cd.lianjia.com/chengjiao/106106585398.html,海棠佳苑,3室1厅,88.75平米,136万
https://cd.lianjia.com/chengjiao/106106849583.html,泰和佳园,3室1厅,133.24平米,305万
https://cd.lianjia.com/chengjiao/106106892919.html,西西里二期,1室1厅,56.6平米,96万
https://cd.lianjia.com/chengjiao/106103749999.html,摩玛城,2室1厅,90.15平米,164万
https://cd.lianjia.com/chengjiao/106106622598.html,边城香格里,3室2厅,175.93平米,247万
https://cd.lianjia.com/chengjiao/106105802478.html,双玺,3室2厅,87.44平米,202万
https://cd.lianjia.com/chengjiao/106106298334.html,都会路苑,2室1厅,86.34平米,195万
https://cd.lianjia.com/chengjiao/106105963877.html,德坤竹韵坊,3室2厅,101.98平米,90万
https://cd.lianjia.com/chengjiao/106106739634.html,富力桃园B区,2室2厅,82.51平米,97万
https://cd.lianjia.com/chengjiao/106106232049.html,永泰雅居,3室2厅,110.37平米,140万
https://cd.lianjia.com/chengjiao/106106053056.html,空港首座,2室1厅,66.47平米,79万
https://cd.lianjia.com/chengjiao/106106863645.html,时代空间,2室1厅,78.79平米,101万
https://cd.lianjia.com/chengjiao/106106807254.html,花语岸,3室1厅,88.07平米,87万
https://cd.lianjia.com/chengjiao/106106866453.html,锦江城市花园二期,2室1厅,50.19平米,89万
https://cd.lianjia.com/chengjiao/106105849231.html,金色夏威夷,1室1厅,57.83平米,109万
https://cd.lianjia.com/chengjiao/106103727775.html,今日田园,5室3厅,377.69平米,372万
https://cd.lianjia.com/chengjiao/106104965108.html,嘉通云尚,2室1厅,79.53平米,142万
https://cd.lianjia.com/chengjiao/106104859833.html,英郡一期,车位,40平米,18万
https://cd.lianjia.com/chengjiao/106105878926.html,嘉瑞苑二期,3室1厅,99.54平米,154万
https://cd.lianjia.com/chengjiao/106106909739.html,金桂花苑银桂园,5室2厅,163平米,193万
https://cd.lianjia.com/chengjiao/106105673604.html,城南名著,5室2厅,183.21平米,293万
https://cd.lianjia.com/chengjiao/106105032536.html,交大智能九期,4室2厅,168.04平米,225万
https://cd.lianjia.com/chengjiao/106105837048.html,交大卡布里城,4室1厅,129.29平米,134万
https://cd.lianjia.com/chengjiao/106106432773.html,电子科大东院,2室1厅,80.98平米,120万
https://cd.lianjia.com/chengjiao/106106557875.html,香山长岛,3室2厅,89.07平米,164万
https://cd.lianjia.com/chengjiao/106106415363.html,南湖国际社区,2室2厅,83.85平米,162万
https://cd.lianjia.com/chengjiao/106106293630.html,卓锦城六期,4室2厅,114.33平米,316万
https://cd.lianjia.com/chengjiao/106105844701.html,理工南苑,3室2厅,103.79平米,120万
https://cd.lianjia.com/chengjiao/106104659161.html,明信仕林府,4室2厅,147.43平米,151万
https://cd.lianjia.com/chengjiao/106106756421.html,恒大城一期,4室1厅,132.58平米,175万
https://cd.lianjia.com/chengjiao/106105756037.html,金沙上城,2室1厅,62.72平米,75万
https://cd.lianjia.com/chengjiao/106105649716.html,堤亚纳河谷,3室1厅,78.87平米,103万
https://cd.lianjia.com/chengjiao/106106649541.html,西体路新二村,2室0厅,50.35平米,49万
https://cd.lianjia.com/chengjiao/106106705623.html,泰和佳园,3室1厅,133.24平米,285万
https://cd.lianjia.com/chengjiao/106105700867.html,蓝光幸福满庭,3室1厅,66.2平米,111万
https://cd.lianjia.com/chengjiao/106103988106.html,上行锦绣,1室1厅,55.27平米,70万
https://cd.lianjia.com/chengjiao/106106850746.html,领馆国际城,3室1厅,105.38平米,183万
https://cd.lianjia.com/chengjiao/106106146178.html,御景台,3室1厅,120.33平米,201万
https://cd.lianjia.com/chengjiao/106106902005.html,一里阳光,3室2厅,109.41平米,119万
https://cd.lianjia.com/chengjiao/106104400953.html,骑士郡,2室1厅,69.4平米,97万
https://cd.lianjia.com/chengjiao/106106861854.html,美苑(青羊),1室1厅,47.85平米,68万
https://cd.lianjia.com/chengjiao/106106773132.html,蜀都惠园,2室1厅,71.39平米,139万
https://cd.lianjia.com/chengjiao/106105793988.html,中铁骑士府邸,3室2厅,90.45平米,169万
https://cd.lianjia.com/chengjiao/106106416237.html,复地御香山3悦,3室2厅,105.53平米,213万
https://cd.lianjia.com/chengjiao/106106199398.html,南城都汇汇朗园五期,3室2厅,89平米,250万
https://cd.lianjia.com/chengjiao/106106528409.html,招商雍华府二期,2室2厅,82.34平米,157万
https://cd.lianjia.com/chengjiao/106106534843.html,民兴苑,2室2厅,80.82平米,102万
https://cd.lianjia.com/chengjiao/106106150673.html,水岸格林,3室2厅,80.53平米,168万
https://cd.lianjia.com/chengjiao/106106378257.html,SG珊顿道,2室1厅,74.43平米,210万
https://cd.lianjia.com/chengjiao/106106671540.html,汇融悉尼湾达令港,3室2厅,108.66平米,146万
https://cd.lianjia.com/chengjiao/106106896185.html,首信首御,4室1厅,125.07平米,250万
https://cd.lianjia.com/chengjiao/106106885218.html,远大都市风景四期,2室2厅,75.09平米,168万
https://cd.lianjia.com/chengjiao/106106473205.html,南湖逸家二期,3室1厅,74.32平米,162万
https://cd.lianjia.com/chengjiao/106104913801.html,缤纷翡翠湾,3室1厅,90.38平米,91万
https://cd.lianjia.com/chengjiao/106106708198.html,合能耀之城,2室1厅,51.35平米,98万
https://cd.lianjia.com/chengjiao/106105338222.html,万科金色城市二期,2室1厅,66.2平米,123万
https://cd.lianjia.com/chengjiao/106106861006.html,南城都汇汇尚园,2室1厅,87.71平米,252万
https://cd.lianjia.com/chengjiao/106105992514.html,金南园,3室2厅,129.87平米,153万
https://cd.lianjia.com/chengjiao/106104894432.html,东立国际花城,1室1厅,49.33平米,53万
https://cd.lianjia.com/chengjiao/106106444590.html,瑞丰花园,2室2厅,86.52平米,100万
https://cd.lianjia.com/chengjiao/106106416035.html,锦江城市花园一期,3室1厅,89.17平米,169万
https://cd.lianjia.com/chengjiao/106106737312.html,鑫苑鑫都汇南区,2室1厅,64.74平米,143万
https://cd.lianjia.com/chengjiao/106106671047.html,达达公馆,2室1厅,65.03平米,59万
https://cd.lianjia.com/chengjiao/106105310604.html,华汇天地,3室2厅,81.92平米,146万
https://cd.lianjia.com/chengjiao/106106293883.html,天府丽都,2室1厅,82.5平米,56万
https://cd.lianjia.com/chengjiao/106106855429.html,博雅新城C区,2室1厅,77.79平米,83万
https://cd.lianjia.com/chengjiao/106102614225.html,华银美景,3室2厅,111平米,142万
https://cd.lianjia.com/chengjiao/106106528158.html,清芳园,3室2厅,55.62平米,55万
https://cd.lianjia.com/chengjiao/106106419997.html,永寿教师楼,3室2厅,92平米,62万
https://cd.lianjia.com/chengjiao/106106625498.html,四季映像,2室2厅,63.51平米,85万
https://cd.lianjia.com/chengjiao/106105874388.html,恒大城一期,4室1厅,132.58平米,180万
https://cd.lianjia.com/chengjiao/106106400162.html,荣盛花语城,2室1厅,61.73平米,137万
